"Conduction Band (eV)","vtkValidPointMask","arc_length","x (nm)","y (nm)","z (nm)"
1.213,1,0,-130,0,25.9
1.2129,1,0.25999,-129.74,0,25.9
1.2129,1,0.52,-129.48,0,25.9
1.2129,1,0.78,-129.22,0,25.9
1.2129,1,1.04,-128.96,0,25.9
1.2129,1,1.3,-128.7,0,25.9
1.2129,1,1.56,-128.44,0,25.9
1.2129,1,1.82,-128.18,0,25.9
1.2129,1,2.08,-127.92,0,25.9
1.2129,1,2.34,-127.66,0,25.9
1.2129,1,2.6,-127.4,0,25.9
1.2129,1,2.86,-127.14,0,25.9
1.2129,1,3.12,-126.88,0,25.9
1.2129,1,3.38,-126.62,0,25.9
1.2129,1,3.64,-126.36,0,25.9
1.2129,1,3.9,-126.1,0,25.9
1.2129,1,4.16,-125.84,0,25.9
1.2129,1,4.42,-125.58,0,25.9
1.2129,1,4.68,-125.32,0,25.9
1.2128,1,4.94,-125.06,0,25.9
1.2129,1,5.2,-124.8,0,25.9
1.2131,1,5.46,-124.54,0,25.9
1.2136,1,5.72,-124.28,0,25.9
1.2143,1,5.98,-124.02,0,25.9
1.215,1,6.24,-123.76,0,25.9
1.2158,1,6.5,-123.5,0,25.9
1.2165,1,6.76,-123.24,0,25.9
1.2173,1,7.02,-122.98,0,25.9
1.218,1,7.28,-122.72,0,25.9
1.2188,1,7.54,-122.46,0,25.9
1.2195,1,7.8,-122.2,0,25.9
1.2203,1,8.06,-121.94,0,25.9
1.2211,1,8.32,-121.68,0,25.9
1.2218,1,8.58,-121.42,0,25.9
1.2226,1,8.84,-121.16,0,25.9
1.2233,1,9.1,-120.9,0,25.9
1.2241,1,9.36,-120.64,0,25.9
1.2248,1,9.62,-120.38,0,25.9
1.2256,1,9.88,-120.12,0,25.9
1.2268,1,10.14,-119.86,0,25.9
1.2288,1,10.4,-119.6,0,25.9
1.2307,1,10.66,-119.34,0,25.9
1.2326,1,10.92,-119.08,0,25.9
1.2346,1,11.18,-118.82,0,25.9
1.2365,1,11.44,-118.56,0,25.9
1.2385,1,11.7,-118.3,0,25.9
1.2404,1,11.96,-118.04,0,25.9
1.2423,1,12.22,-117.78,0,25.9
1.2443,1,12.48,-117.52,0,25.9
1.2462,1,12.74,-117.26,0,25.9
1.2481,1,13,-117,0,25.9
1.2501,1,13.26,-116.74,0,25.9
1.252,1,13.52,-116.48,0,25.9
1.254,1,13.78,-116.22,0,25.9
1.2559,1,14.04,-115.96,0,25.9
1.258,1,14.3,-115.7,0,25.9
1.2596,1,14.56,-115.44,0,25.9
1.2595,1,14.82,-115.18,0,25.9
1.2588,1,15.08,-114.92,0,25.9
1.2568,1,15.34,-114.66,0,25.9
1.2565,1,15.6,-114.4,0,25.9
1.2574,1,15.86,-114.14,0,25.9
1.2582,1,16.12,-113.88,0,25.9
1.259,1,16.38,-113.62,0,25.9
1.2599,1,16.64,-113.36,0,25.9
1.2607,1,16.9,-113.1,0,25.9
1.2615,1,17.16,-112.84,0,25.9
1.2623,1,17.42,-112.58,0,25.9
1.2632,1,17.68,-112.32,0,25.9
1.264,1,17.94,-112.06,0,25.9
1.2648,1,18.2,-111.8,0,25.9
1.2657,1,18.46,-111.54,0,25.9
1.2665,1,18.72,-111.28,0,25.9
1.2673,1,18.98,-111.02,0,25.9
1.2682,1,19.24,-110.76,0,25.9
1.2684,1,19.5,-110.5,0,25.9
1.2683,1,19.76,-110.24,0,25.9
1.2683,1,20.02,-109.98,0,25.9
1.2682,1,20.28,-109.72,0,25.9
1.2681,1,20.54,-109.46,0,25.9
1.2681,1,20.8,-109.2,0,25.9
1.268,1,21.06,-108.94,0,25.9
1.2679,1,21.32,-108.68,0,25.9
1.2678,1,21.58,-108.42,0,25.9
1.2678,1,21.84,-108.16,0,25.9
1.2677,1,22.1,-107.9,0,25.9
1.2676,1,22.36,-107.64,0,25.9
1.2676,1,22.62,-107.38,0,25.9
1.2676,1,22.88,-107.12,0,25.9
1.2678,1,23.14,-106.86,0,25.9
1.2681,1,23.4,-106.6,0,25.9
1.2683,1,23.66,-106.34,0,25.9
1.2679,1,23.92,-106.08,0,25.9
1.2675,1,24.18,-105.82,0,25.9
1.2669,1,24.44,-105.56,0,25.9
1.2672,1,24.7,-105.3,0,25.9
1.2674,1,24.96,-105.04,0,25.9
1.2677,1,25.22,-104.78,0,25.9
1.2679,1,25.48,-104.52,0,25.9
1.2681,1,25.74,-104.26,0,25.9
1.2684,1,26,-104,0,25.9
1.2686,1,26.26,-103.74,0,25.9
1.2689,1,26.52,-103.48,0,25.9
1.2691,1,26.78,-103.22,0,25.9
1.2694,1,27.04,-102.96,0,25.9
1.2696,1,27.3,-102.7,0,25.9
1.2699,1,27.56,-102.44,0,25.9
1.2698,1,27.82,-102.18,0,25.9
1.2696,1,28.08,-101.92,0,25.9
1.2694,1,28.34,-101.66,0,25.9
1.2693,1,28.6,-101.4,0,25.9
1.2691,1,28.86,-101.14,0,25.9
1.269,1,29.12,-100.88,0,25.9
1.2688,1,29.38,-100.62,0,25.9
1.2686,1,29.64,-100.36,0,25.9
1.2688,1,29.9,-100.1,0,25.9
1.2695,1,30.16,-99.84,0,25.9
1.2698,1,30.42,-99.58,0,25.9
1.2693,1,30.68,-99.32,0,25.9
1.2689,1,30.94,-99.06,0,25.9
1.269,1,31.2,-98.8,0,25.9
1.2691,1,31.46,-98.54,0,25.9
1.2693,1,31.72,-98.28,0,25.9
1.2694,1,31.98,-98.02,0,25.9
1.2695,1,32.24,-97.76,0,25.9
1.2697,1,32.5,-97.5,0,25.9
1.2698,1,32.76,-97.24,0,25.9
1.2699,1,33.02,-96.98,0,25.9
1.2681,1,33.28,-96.72,0,25.9
1.2657,1,33.54,-96.46,0,25.9
1.2634,1,33.8,-96.2,0,25.9
1.261,1,34.06,-95.94,0,25.9
1.2586,1,34.32,-95.68,0,25.9
1.2563,1,34.58,-95.42,0,25.9
1.2539,1,34.84,-95.16,0,25.9
1.2516,1,35.1,-94.9,0,25.9
1.2492,1,35.36,-94.64,0,25.9
1.2468,1,35.62,-94.38,0,25.9
1.2445,1,35.88,-94.12,0,25.9
1.2421,1,36.14,-93.86,0,25.9
1.2401,1,36.4,-93.6,0,25.9
1.2386,1,36.66,-93.34,0,25.9
1.2388,1,36.92,-93.08,0,25.9
1.2372,1,37.18,-92.82,0,25.9
1.235,1,37.44,-92.56,0,25.9
1.2313,1,37.7,-92.3,0,25.9
1.2273,1,37.96,-92.04,0,25.9
1.2233,1,38.22,-91.78,0,25.9
1.2193,1,38.48,-91.52,0,25.9
1.2153,1,38.74,-91.26,0,25.9
1.2113,1,39,-91,0,25.9
1.2073,1,39.26,-90.74,0,25.9
1.2033,1,39.52,-90.48,0,25.9
1.1994,1,39.78,-90.22,0,25.9
1.1954,1,40.04,-89.96,0,25.9
1.1914,1,40.3,-89.7,0,25.9
1.1874,1,40.56,-89.44,0,25.9
1.1834,1,40.82,-89.18,0,25.9
1.1794,1,41.08,-88.92,0,25.9
1.1754,1,41.34,-88.66,0,25.9
1.1715,1,41.6,-88.4,0,25.9
1.1675,1,41.86,-88.14,0,25.9
1.1654,1,42.12,-87.88,0,25.9
1.1644,1,42.38,-87.62,0,25.9
1.1635,1,42.64,-87.36,0,25.9
1.1625,1,42.9,-87.1,0,25.9
1.1615,1,43.16,-86.84,0,25.9
1.1606,1,43.42,-86.58,0,25.9
1.1596,1,43.68,-86.32,0,25.9
1.1586,1,43.94,-86.06,0,25.9
1.1577,1,44.2,-85.8,0,25.9
1.1567,1,44.46,-85.54,0,25.9
1.1557,1,44.72,-85.28,0,25.9
1.1548,1,44.98,-85.02,0,25.9
1.1538,1,45.24,-84.76,0,25.9
1.1528,1,45.5,-84.5,0,25.9
1.1518,1,45.76,-84.24,0,25.9
